PARCELID,Shape_Leng,Shape_Area,PARID2,parid3,Dwelling — Sheet1_MAP ROUTING,Dwelling — Sheet1_CARD,Dwelling — Sheet1_RMTOT,Dwelling — Sheet1_RMBED,Dwelling — Sheet1_RMFAM,Dwelling — Sheet1_RMDIN,Dwelling — Sheet1_FIXBATH,Dwelling — Sheet1_FIXHALF,Dwelling — Sheet1_LIVUNITS,Dwelling — Sheet1_STYLE,Dwelling — Sheet1_STORIES,Dwelling — Sheet1_ATTIC,Dwelling — Sheet1_BSMT,Dwelling — Sheet1_FINBSMTAREA,Dwelling — Sheet1_EXTWALL,Dwelling — Sheet1_UNFINAREA,Dwelling — Sheet1_RECROMAREA,Dwelling — Sheet1_HEAT,Dwelling — Sheet1_FIXADDL,Dwelling — Sheet1_FIXTOT,Dwelling — Sheet1_WBFP_S,Dwelling — Sheet1_WBFP_O,Dwelling — Sheet1_CARSPACESATT,Dwelling — Sheet1_CARSPACESBSMT,Dwelling — Sheet1_CARPORTSPACES,Dwelling — Sheet1_GRADE,Dwelling — Sheet1_WELLSEPTIC,Dwelling — Sheet1_YRBLT,Dwelling — Sheet1_YRREMOD,Dwelling — Sheet1_EFFYR,Dwelling — Sheet1_COND,Dwelling — Sheet1_AREAFACT,Dwelling — Sheet1_ADJAREA,Dwelling — Sheet1_SHFACT,Dwelling — Sheet1_CNSTFACT,Dwelling — Sheet1_GRDFACT,Dwelling — Sheet1_DEPR,Dwelling — Sheet1_MKTADJ,Dwelling — Sheet1_MGFA,Dwelling — Sheet1_ADDNAREA,Dwelling — Sheet1_SFLA,Dwelling — Sheet1_FLR1AREA,Dwelling — Sheet1_ADJRCNLD,Value — Sheet1_TaxYear,Value — Sheet1_ValueType,Value — Sheet1_LUC,Value — Sheet1_LUCDesc,Value — Sheet1_MarketLand,Value — Sheet1_MarketImpr,Value — Sheet1_CauvLand,Value — Sheet1_TaxableLand,Value — Sheet1_TaxableImpr
"050-000001",397.74220728200,7401.47945278000,"050-000001","050-000001-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Base,420,420 - SMALL RETAIL STRUCT<10000 SF,82500,127200,0,28880,44520
"050-000002",397.86593901700,7411.14873154000,"050-000002","050-000002-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Base,447,447 - OFFICE BLDG 1 & 2 STORIES,82500,187000,0,28880,65450
"050-000003",415.71143945100,7966.35589490000,"050-000003","050-000003-00","050-N041-13200",1,6,2,1,,1,,"1","05 - RANCH",1 - 1 Story,"0 - NO ATTIC",C - FULL CRAWL,,1 - WD/ALUM/VINYL,,,1 - HEAT,2,5,1,1,1 - 1 Car Space,,,C-2 - AVERAGE - -,,1957,1983,1983,A - AVERAGE,0.825,900,1,1,0.9,70,,900,672,1572,914,147000,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,86700,147000,0,30350,51450
"050-000004",419.37490577100,8090.49771435000,"050-000004","050-000004-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Base,447,447 - OFFICE BLDG 1 & 2 STORIES,86400,94100,0,30240,32940
"050-000005",402.65176564000,7641.41373959000,"050-000005","050-000005-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Base,420,420 - SMALL RETAIL STRUCT<10000 SF,82500,408100,0,28880,142840
"050-000007",401.73116326300,7578.77881227000,"050-000007","050-000007-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Base,400,400 - VACANT COMMERCIAL LAND,82500,0,0,28880,0
"050-000008",401.96264685500,7598.80437286000,"050-000008","050-000008-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Base,400,400 - VACANT COMMERCIAL LAND,82500,0,0,28880,0
"050-000009",343.88845469700,7389.95259776000,"050-000009","050-000009-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Base,500,500 - VACANT PLATTED RES LAND,7700,0,0,2700,0
"050-000010",1035.55571926000,47150.58740150000,"050-000010","050-000010-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Exempt,710,710 - ABATED PROPERTY FOR CRA,0,15400,0,0,5390
"050-000011",324.78438463600,4593.25769918000,"050-000011","050-000011-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,22300,0,0,7810,0
"050-000012",528.11137953500,13290.73610620000,"050-000012","050-000012-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Exempt,681,681 - OTHER EXEMPT,115900,6500,0,40570,2280
"050-000013",753.14149845400,24177.83974540000,"050-000013","050-000013-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Base,435,435 - FAST FOOD/DRIVE-IN RESTAURANT,151400,25200,0,52990,8820
"050-000014",397.30216774600,7463.73235348000,"050-000014","050-000014-00","050-N042-03500",1,4,2,,,2,0,"1","05 - RANCH",1 - 1 Story,"0 - NO ATTIC",C - FULL CRAWL,,1 - WD/ALUM/VINYL,,,2 - HEAT/AIR CON,2,8,,,2 - 2 Car Spaces,,,C-1 - AVERAGE -,,2020,,,A - AVERAGE,1.183,1514,1,1,0.95,90,,1514,0,1514,1519,200000,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,85000,202700,0,29750,70950
"050-000015",598.87892525600,22416.80365650000,"050-000015","050-000015-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Exempt,681,681 - OTHER EXEMPT,247500,86500,0,86630,30280
"050-000016",1426.59065249000,111963.31292900001,"050-000016","050-000016-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Exempt,650,650 - EXEMPT PROPERTY OWNED BY BOE,1169300,7012800,0,409260,2454480
"050-000017",404.19101061800,7736.01449945000,"050-000017","050-000017-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Base,440,440 - DRY CLEANING PLANT OF LAUNDRY,82500,186900,0,28880,65420
"050-000018",349.09699185200,7460.36827426000,"050-000018","050-000018-00","050-N041-06700",1,5,3,,,1,,"1","07 - OLD STYLE",2 - 2 Story,"0 - NO ATTIC",C - FULL CRAWL,,1 - WD/ALUM/VINYL,,,2 - HEAT/AIR CON,2,5,,,,,,D+1 - BELOW AVERAGE +,,1900,,,A - AVERAGE,0.626,560,1.69,1,0.8,70,,560,220,1340,564,115400,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,78400,127400,0,27440,44590
"050-000019",350.65059685100,3891.82961338000,"050-000019","050-000019-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Base,436,436 - FAMILY RESTAURANT/DINING ROOM,57800,277300,0,20230,97060
"050-000020",395.64767114300,7286.69906636000,"050-000020","050-000020-00","050-N042-16900",1,5,3,,,1,,"1","05 - RANCH",1 - 1 Story,"0 - NO ATTIC",B - FULL BASEMENT,,1 - WD/ALUM/VINYL,,,2 - HEAT/AIR CON,2,5,,,,,,D+2 - BELOW AVERAGE ++,,1954,1993,1993,G - GOOD,0.86,960,1,1,0.85,80,,960,0,960,961,110900,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,80500,114700,0,28180,40150
"050-000021",395.82645298900,7342.75753879000,"050-000021","050-000021-00","050-N042-14400",1,5,2,,,1,1,"1",10 - CAPE COD,1 - 1 Story,4 - FULL ATTIC FINISH,"0 - NONE",,1 - WD/ALUM/VINYL,,,2 - HEAT/AIR CON,2,7,,,,,,D+2 - BELOW AVERAGE ++,,1900,2015,2015,G - GOOD,0.822,896,1,1,0.85,75,,896,112,1438,901,123100,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,85000,129400,0,29750,45290
"050-000022",396.48857758000,7356.76535246000,"050-000022","050-000022-00","050-N042-17000",1,5,3,,,1,,"1","05 - RANCH",1 - 1 Story,"0 - NO ATTIC",B - FULL BASEMENT,,1 - WD/ALUM/VINYL,,400,2 - HEAT/AIR CON,2,5,,,,,,D+2 - BELOW AVERAGE ++,,1954,,,A - AVERAGE,0.86,960,1,1,0.85,75,,960,0,960,965,119500,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,80500,121400,0,28180,42490
"050-000023",398.90281026200,7578.39082266000,"050-000023","050-000023-00","050-N042-14700",1,5,3,,,2,0,"1","01 - CONVENTIONAL",2 - 2 Story,"0 - NO ATTIC","0 - NONE",,1 - WD/ALUM/VINYL,,,2 - HEAT/AIR CON,2,8,,,2 - 2 Car Spaces,,,C+1 - AVERAGE +,,2021,,,A - AVERAGE,0.748,768,1.69,1,1.05,90,,768,884,2420,782,302300,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,85000,302300,0,29750,105810
"050-000024",1590.76128847000,94451.33357990001,"050-000024","050-000024-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Base,417,417 - DAY/CARE PRESCHOOL,546100,892700,0,191140,312450
"050-000025",400.70544845700,7531.80037514000,"050-000025","050-000025-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Base,470,470 - DWELLING CONVERTED TO OFFICE,82500,22200,0,28880,7770
"050-000026",399.02981771300,7514.36906301000,"050-000026","050-000026-00","050-N041-14400",1,5,3,,,2,1,"1",10 - CAPE COD,1.5 - 1 1/2 Story,"0 - NO ATTIC",B - FULL BASEMENT,,1 - WD/ALUM/VINYL,,,2 - HEAT/AIR CON,2,10,,,,,,C+1 - AVERAGE +,,1937,2000,2000,G - GOOD,0.909,1044,1.49,1,1.05,84,,1044,360,2239,1054,261100,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,85000,266300,0,29750,93210
"050-000027",409.16476617600,8335.51369896000,"050-000027","050-000027-00","050-N042-17500",1,6,3,,,2,,"1",15 - OTHER/CONVERSION,2 - 2 Story,"0 - NO ATTIC",B - FULL BASEMENT,,1 - WD/ALUM/VINYL,,,2 - HEAT/AIR CON,2,8,,,,,,D+2 - BELOW AVERAGE ++,,1900,1995,1995,A - AVERAGE,0.664,624,1.69,1,0.85,85,,624,96,1344,628,162000,2024,Base,470,470 - DWELLING CONVERTED TO OFFICE,87500,167900,0,30630,58770
"050-000028",518.08384137600,16309.04842490000,"050-000028","050-000028-00","050-N041-14600",1,5,3,,,1,,"1","05 - RANCH",1 - 1 Story,"0 - NO ATTIC",B - FULL BASEMENT,,91 - 1/6 MASONRY TO FRAME .167,,,2 - HEAT/AIR CON,2,5,1,2,1 - 1 Car Space,,,C - AVERAGE QUALITY,,1957,,,G - GOOD,1.033,1256,1,1.016,1,75,,1256,0,1256,1266,181700,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,109700,181700,0,38400,63600
"050-000029",397.86168081700,7336.85409012000,"050-000029","050-000029-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Base,455,455 - COMMERCIAL GARAGE,82500,103400,0,28880,36190
"050-000030",398.45659873000,7443.41784120000,"050-000030","050-000030-00","050-N042-17700",1,5,2,1,,1,1,"1",10 - CAPE COD,1.5 - 1 1/2 Story,"0 - NO ATTIC",C - FULL CRAWL,,2 - STUCCO,,,2 - HEAT/AIR CON,2,7,1,1,,,,C-1 - AVERAGE -,,1900,1983,1983,A - AVERAGE,0.692,672,1.49,1,0.95,70,,672,265,1475,680,154200,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,85000,164000,0,29750,57400
"050-000032",500.96395952400,14644.74991020000,"050-000032","050-000032-00","050-N043-11100",1,7,4,,,1,1,"1","01 - CONVENTIONAL",2 - 2 Story,"0 - NO ATTIC",B - FULL BASEMENT,,1 - WD/ALUM/VINYL,,,1 - HEAT,2,7,1,1,,,,B - GOOD QUALITY,,1910,,,A - AVERAGE,0.825,900,1.69,1,1.2,70,,900,126,1926,905,245700,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,105300,245700,0,36860,86000
"050-000033",620.83494432100,20160.24437710000,"050-000033","050-000033-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,23100,7500,0,8090,2630
"050-000034",299.75272252000,5615.65003572000,"050-000034","050-000034-00","050-N041-13700",1,6,4,,,2,1,"1",10 - CAPE COD,1 - 1 Story,3 - 3/4 ATTIC FINISH,B - FULL BASEMENT,,1 - WD/ALUM/VINYL,,352,2 - HEAT/AIR CON,2,10,,,,,,C-1 - AVERAGE -,,1953,,,A - AVERAGE,0.804,864,1,1,0.95,70,,864,504,1679,871,172900,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,66900,179300,0,23420,62760
"050-000035",397.92847591400,7409.05468375000,"050-000035","050-000035-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Base,456,456 - PARKING LOTS-SURFACE,63500,11800,0,22230,4130
"050-000036",398.27738844300,7471.57524810000,"050-000036","050-000036-00","050-N042-17300",1,3,1,,,1,,"1",10 - CAPE COD,1 - 1 Story,1 - ATTIC UNF,"0 - NONE",,1 - WD/ALUM/VINYL,,,2 - HEAT/AIR CON,2,5,,,,,,D+2 - BELOW AVERAGE ++,,1900,,,P - POOR,0.766,799,1,1,0.85,50,,799,0,799,805,59900,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,85000,82200,0,29750,28770
"050-000037",418.09279514700,8855.10718047000,"050-000037","050-000037-00","050-N041-15600",1,3,1,,,1,,"1","05 - RANCH",1 - 1 Story,"0 - NO ATTIC",C - FULL CRAWL,,93 - 3/6 MASONRY TO FRAME .500,,,1 - HEAT,2,5,,,,,,E - POOR QUALITY,,1954,,,A - AVERAGE,0.636,576,1,1.048,0.5,85,40,576,0,576,576,22900,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,81700,22900,0,28600,8020
"050-000038",298.98757447100,5586.90765048000,"050-000038","050-000038-00","050-N041-08800",1,5,2,,,1,,"1",10 - CAPE COD,1.5 - 1 1/2 Story,"0 - NO ATTIC",C - FULL CRAWL,,1 - WD/ALUM/VINYL,,,2 - HEAT/AIR CON,2,5,,,,,,D+1 - BELOW AVERAGE +,,1940,,,G - GOOD,0.527,390,1.49,1,0.8,75,,390,489,1191,397,116900,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,66900,128600,0,23420,45010
"050-000039",399.80342909000,7466.23419593000,"050-000039","050-000039-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Base,429,429 - OTHER RETAIL STRUCTURE,74300,0,0,26010,0
"050-000040",396.92275406400,6458.16029971000,"050-000040","050-000040-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Base,500,500 - VACANT PLATTED RES LAND,78000,0,0,27300,0
"050-000041",310.58285634700,5240.23609397000,"050-000041","050-000041-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Base,455,455 - COMMERCIAL GARAGE,57800,95500,0,20230,33430
"050-000042",400.85569605000,7537.11914275000,"050-000042","050-000042-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Base,444,444 - FULL SERVICE BANKS,74300,44600,0,26010,15610
"050-000043",360.44848348200,6459.05540350000,"050-000043","050-000043-00","050-N042-03200",1,5,3,,,1,,"1","07 - OLD STYLE",1 - 1 Story,"0 - NO ATTIC",C - FULL CRAWL,,1 - WD/ALUM/VINYL,,,2 - HEAT/AIR CON,2,5,,,,,,C-1 - AVERAGE -,,1900,2000,2000,A - AVERAGE,0.62,550,1,1,0.95,70,,550,832,1382,560,132700,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,79900,144100,0,27970,50440
"050-000044",465.25188110300,12424.66880540000,"050-000044","050-000044-00","050-N041-02500",1,6,3,,,1,,"1","01 - CONVENTIONAL",2 - 2 Story,"0 - NO ATTIC",B - FULL BASEMENT,,94 - 4/6 MASONRY TO FRAME .667,,,2 - HEAT/AIR CON,2,5,,,,,,C - AVERAGE QUALITY,,1850,2018,2018,G - GOOD,0.692,672,1.69,1.109,1,100,,672,1068,2412,684,798500,2024,Base,471,471 - DWELLING CONVERTED TO RETAIL,138600,825800,0,48510,289030
"050-000045",301.78684644900,5691.23831210000,"050-000045","050-000045-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Base,456,456 - PARKING LOTS-SURFACE,61900,7100,0,21670,2490
"050-000047",141.51901133600,1015.30206738000,"050-000047","050-000047-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Base,499,499 - OTHER COMMERCIAL STRUCTURE,12100,16700,0,4240,5850
"050-000048",804.23911515600,21234.05674480000,"050-000048","050-000048-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Base,420,420 - SMALL RETAIL STRUCT<10000 SF,174000,321800,0,60900,112630
"050-000049",921.10986511200,48698.38700840000,"050-000049","050-000049-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Base,425,425 - NEIGHBORHOOD SHOPPING CENTER,402500,657800,0,140880,230230
"050-000051",412.34156894900,8480.13254892000,"050-000051","050-000051-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Base,429,429 - OTHER RETAIL STRUCTURE,96500,99400,0,33780,34790
"050-000052",352.11419383400,7578.32325853000,"050-000052","050-000052-00","050-N041-08700",1,6,3,,,1,1,"1",10 - CAPE COD,1.5 - 1 1/2 Story,"0 - NO ATTIC",C - FULL CRAWL,,1 - WD/ALUM/VINYL,,,2 - HEAT/AIR CON,2,7,,,,,,D+1 - BELOW AVERAGE +,,1900,1995,1995,A - AVERAGE,0.527,390,1.49,1,0.8,70,,390,767,1469,403,136000,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,66900,137000,0,23420,47950
